title,make,model,year,condition,transmission,price
Pontiac Vibe 2009 Black,Pontiac,Vibe,2009,local used,automatic,"₦ 8,800,000"
Mercedes-Benz E350 2014 White,Mercedes-Benz,E350,2014,foreign used,automatic,"₦ 23,000,000"
Lexus RX 350 2010 Red,Lexus,RX 350,2010,foreign used,automatic,"₦ 19,500,000"
Mercedes-Benz GLE-Class 2016 White,Mercedes-Benz,GLE-Class,2016,foreign used,automatic,"₦ 39,500,000"
Lexus ES 350 Luxury 2021 Blue,Lexus,ES 350,2021,foreign used,automatic,"₦ 58,000,000"
Hyundai Veracruz 2010 Silver,Hyundai,Veracruz,2010,foreign used,automatic,"₦ 18,500,000"
Lexus RX 350 2008 White,Lexus,RX 350,2008,foreign used,automatic,"₦ 15,800,000"
Toyota Hilux SR 4x4 2015 White,Toyota,Hilux SR,2015,local used,automatic,"₦ 37,500,000"
New Honda CR-V 2023 Black,New,Honda CR-V,2023,brand new,automatic,"₦ 75,000,000"
Hyundai Sonata 2015 Orange,Hyundai,Sonata,2015,foreign used,automatic,"₦ 18,500,000"
Land Rover Range Rover HSE 2013 Blue,Land,Rover Range,2013,foreign used,automatic,"₦ 47,000,000"
Mercedes-Benz GLA 250 2015 Brown,Mercedes-Benz,GLA 250,2015,foreign used,automatic,"₦ 26,300,000"
Mercedes-Benz M Class 2014 Black,Mercedes-Benz,M Class,2014,foreign used,automatic,"₦ 30,000,000"
Toyota Hilux SR5+ 4x4 2018 White,Toyota,Hilux SR5,2018,foreign used,automatic,"₦ 52,000,000"
Toyota Camry XLE 4dr Sedan (2.5L 4cyl 6A) 2013 Gray,Toyota,Camry XLE,2013,foreign used,automatic,"₦ 15,800,000"
Lexus LX 570 AWD 2019 White,Lexus,LX 570,2019,foreign used,automatic,"₦ 129,000,000"
Honda CR-V Touring AWD 2018 Gray,Honda,CR-V Touring,2018,foreign used,automatic,"₦ 35,000,000"
Lexus ES 350 2010 Gold,Lexus,ES 350,2010,foreign used,automatic,"₦ 13,500,000"
Hyundai Santa Fe GLS 4dr SUV AWD (3.3L 6cyl 6A) 2014 Silver,Hyundai,Santa Fe,2014,foreign used,automatic,"₦ 19,500,000"
