title,make,model,year,condition,transmission,price
Hyundai Santa Fe Limited 2.0T AWD 2020 Gray,Hyundai,Santa Fe,2020,foreign used,automatic,"₦ 32,000,000"
Toyota Highlander Limited Platinum 4dr SUV AWD (3.5L 6cyl 6A) 2015,Toyota,Highlander Limited,2015,foreign used,automatic,"₦ 32,000,000"
Mercedes-Benz GLE-Class AMG GLE 53 4MATIC 2022 Matt Black,Mercedes-Benz,GLE-Class AMG,2022,foreign used,automatic,"₦ 210,000,000"
Lexus RX 350 2018 White,Lexus,RX 350,2018,foreign used,automatic,"₦ 65,000,000"
Toyota 4-Runner Limited 4x4 V6 2009 Black,Toyota,4-Runner Limited,2009,foreign used,automatic,"₦ 19,000,000"
Toyota Hilux SR5 4x4 2015 White,Toyota,Hilux SR5,2015,foreign used,automatic,"₦ 42,000,000"
Toyota Corolla LE ECO w/Package 1 4dr Sedan (1.8L 4cyl CVT) 2017 Pearl,Toyota,Corolla LE,2017,foreign used,automatic,"₦ 18,000,000"
Toyota Tacoma TRD Off Road 2019 Silver,Toyota,Tacoma TRD,2019,foreign used,automatic,"₦ 45,000,000"
Toyota Corolla 2013 Red,Toyota,Corolla,2013,foreign used,automatic,"₦ 12,500,000"
Mercedes-Benz GLE-Class GLE 350 4MATIC 2021 White,Mercedes-Benz,GLE-Class GLE,2021,foreign used,automatic,"₦ 100,000,000"
Lexus RX 350 FWD 2012 Brown,Lexus,RX 350,2012,foreign used,automatic,"₦ 25,000,000"
Lexus RX 330 2005 Gold,Lexus,RX 330,2005,foreign used,automatic,"₦ 14,500,000"
Lexus GX 470 2007 Gray,Lexus,GX 470,2007,foreign used,automatic,"₦ 17,000,000"
Toyota Highlander Limited 2009 Gold,Toyota,Highlander Limited,2009,foreign used,automatic,"₦ 17,500,000"
Toyota Camry 2008 Green,Toyota,Camry,2008,foreign used,automatic,"₦ 10,800,000"
Toyota Corolla LE 2020 Matt Black,Toyota,Corolla LE,2020,foreign used,automatic,"₦ 25,000,000"
Hyundai Elantra ECO 2018 White,Hyundai,Elantra ECO,2018,foreign used,automatic,"₦ 15,800,000"
Lexus GX 460 Luxury 2019 Silver,Lexus,GX 460,2019,foreign used,automatic,"₦ 75,000,000"
Mercedes-Benz GLC-Class 2018 White,Mercedes-Benz,GLC-Class,2018,foreign used,automatic,"₦ 78,000,000"
Mercedes-Benz M Class ML 350 4Matic 2011 Black,Mercedes-Benz,M Class,2011,foreign used,automatic,"₦ 16,500,000"
Acura MDX Advance Package SUV AWD (3.7L 6cyl 6A) 2010 Gray,Acura,MDX Advance,2010,foreign used,automatic,"₦ 11,800,000"
Hyundai Tucson Limited AWD 2015 Red,Hyundai,Tucson Limited,2015,foreign used,automatic,"₦ 27,000,000"
Toyota Avensis Wagon 2005,Toyota,Avensis Wagon,2005,foreign used,automatic,"₦ 8,800,000"
Lexus RX 350 FWD 2018 Silver,Lexus,RX 350,2018,foreign used,automatic,"₦ 48,000,000"
Lexus LX 570 AWD 2018 Matt Black,Lexus,LX 570,2018,foreign used,automatic,"₦ 120,000,000"
Toyota 4-Runner Limited 4x4 V6 2009 Gray,Toyota,4-Runner Limited,2009,foreign used,automatic,"₦ 15,800,000"
Mercedes-Benz GLC-Class 2018 Burgundy,Mercedes-Benz,GLC-Class,2018,foreign used,automatic,"₦ 36,700,000"
Hyundai Sonata Limited 2.0T 4dr Sedan (2.0L 4cyl Turbo 6A) 2015 Black,Hyundai,Sonata Limited,2015,foreign used,automatic,"₦ 13,500,000"
Acura MDX 2012 White,Acura,MDX,2012,foreign used,automatic,"₦ 12,500,000"
Mercedes-Benz GL-Class 450 2016 White,Mercedes-Benz,GL-Class 450,2016,foreign used,automatic,"₦ 37,000,000"
Toyota Camry 2006 Silver,Toyota,Camry,2006,foreign used,automatic,"₦ 8,000,000"
Toyota Camry 2008 Gray,Toyota,Camry,2008,foreign used,automatic,"₦ 9,500,000"
Toyota Camry 2008 Black,Toyota,Camry,2008,foreign used,automatic,"₦ 9,500,000"
Acura MDX 2015 Gray,Acura,MDX,2015,foreign used,automatic,"₦ 19,500,000"
Mercedes-Benz GLE-Class AMG GLE 43 4MATIC 2017 Gray,Mercedes-Benz,GLE-Class AMG,2017,local used,automatic,"₦ 47,000,000"
Honda Accord 2019 Gray,Honda,Accord,2019,foreign used,automatic,"₦ 22,000,000"
Mercedes-Benz GLE-Class GLE 350 2017 Black,Mercedes-Benz,GLE-Class GLE,2017,foreign used,automatic,"₦ 35,000,000"
Hyundai Elantra Sport 4dr Sedan (2.0L 4cyl 6A) 2015 Black,Hyundai,Elantra Sport,2015,local used,automatic,"₦ 12,000,000"
Mercedes-Benz E350 2010 Silver,Mercedes-Benz,E350,2010,local used,automatic,"₦ 12,000,000"
Toyota Venza LE 4dr Wagon AWD (2.7L 4cyl 6A) 2015 Gray,Toyota,Venza LE,2015,foreign used,automatic,"₦ 20,000,000"
Toyota Highlander 2016 Black,Toyota,Highlander,2016,foreign used,automatic,"₦ 32,500,000"
Lexus IS 2011 Red,Lexus,IS,2011,local used,automatic,"₦ 11,000,000"
Toyota Avalon XLE Premium Sedan FWD (3.5L 6cyl 6A) 2013 Maroon,Toyota,Avalon XLE,2013,foreign used,automatic,"₦ 18,500,000"
Honda Accord 2019 Blue,Honda,Accord,2019,foreign used,automatic,"₦ 22,500,000"
Nissan Frontier XE 4x2 King Cab 116.1 in. WB 2003 White,Nissan,Frontier XE,2003,foreign used,manual,"₦ 21,000,000"
Toyota Venza Limited 2021 Red,Toyota,Venza Limited,2021,foreign used,automatic,"₦ 65,000,000"
Toyota Sequoia Platinum 4dr SUV 4WD (5.7L 8cyl 6A) 2016 Black,Toyota,Sequoia Platinum,2016,foreign used,automatic,"₦ 31,000,000"
Toyota Camry XLE 4dr Sedan (2.5L 4cyl 6A) 2012 Red,Toyota,Camry XLE,2012,foreign used,automatic,"₦ 15,800,000"
Toyota Camry XLE 4dr Sedan (2.5L 4cyl 6A) 2013 Silver,Toyota,Camry XLE,2013,foreign used,automatic,"₦ 14,000,000"
Toyota Venza Limited 2011 Brown,Toyota,Venza Limited,2011,foreign used,automatic,"₦ 17,500,000"
Toyota Corolla LE Premium 4dr Sedan (1.8L 4cyl CVT) 2014 White,Toyota,Corolla LE,2014,foreign used,automatic,"₦ 15,500,000"
Toyota RAV4 Limited 2021 White,Toyota,RAV4 Limited,2021,foreign used,automatic,"₦ 43,500,000"
Toyota Avalon Limited 2021 Black,Toyota,Avalon Limited,2021,foreign used,automatic,"₦ 43,500,000"
Toyota Corolla LE 2021 Blue,Toyota,Corolla LE,2021,foreign used,automatic,"₦ 28,500,000"
Toyota RAV4 XLE 2021 Blue,Toyota,RAV4 XLE,2021,foreign used,automatic,"₦ 48,000,000"
Hyundai Grandeur 2.2 CRDi 2011 White,Hyundai,Grandeur 2,2011,foreign used,automatic,"₦ 16,800,000"
Mercedes-Benz GL-Class GL 450 2013 Black,Mercedes-Benz,GL-Class GL,2013,foreign used,automatic,"₦ 32,000,000"
Acura MDX 2015 Green,Acura,MDX,2015,foreign used,automatic,"₦ 15,800,000"
Toyota Hilux SR5+ 4x4 2018 White,Toyota,Hilux SR5,2018,foreign used,automatic,"₦ 65,000,000"
Mercedes-Benz GLC-Class 2019 Black,Mercedes-Benz,GLC-Class,2019,foreign used,automatic,"₦ 45,000,000"
Lexus RX 350 FWD 2015 Gold,Lexus,RX 350,2015,foreign used,automatic,"₦ 27,500,000"
Toyota Camry XLE 4dr Sedan (2.4L 4cyl 5A) 2009 Green,Toyota,Camry XLE,2009,foreign used,automatic,"₦ 10,900,000"
Toyota Highlander Limited 2012 Gray,Toyota,Highlander Limited,2012,foreign used,automatic,"₦ 19,800,000"
Mazda 3 2008 Red,Mazda,3,2008,foreign used,automatic,"₦ 8,500,000"
Lexus RX 2022 White,Lexus,RX,2022,foreign used,automatic,"₦ 69,000,000"
Toyota Land Cruiser 4.5 V8 GXR 2016 Silver,Toyota,Land Cruiser,2016,foreign used,automatic,"₦ 78,000,000"
Toyota Avalon Limited (3.5L 6cyl 6A) 2018 Black,Toyota,Avalon Limited,2018,foreign used,automatic,"₦ 37,500,000"
Ford Edge 2010 Red,Ford,Edge,2010,foreign used,automatic,"₦ 10,500,000"
Honda Crosstour 3.5 AWD 2015 Matt Black,Honda,Crosstour 3,2015,foreign used,automatic,"₦ 22,000,000"
Mercedes-Benz C300 Luxury 4dr AWD 4Matic Sedan (2.0L 4cyl 7A) 2015,Mercedes-Benz,C300 Luxury,2015,foreign used,automatic,"₦ 24,500,000"
Mercedes-Benz GLE-Class AMG GLE 43 4MATIC 2018 Black,Mercedes-Benz,GLE-Class AMG,2018,foreign used,automatic,"₦ 73,000,000"
Lexus GS 350 4WD 2017 Green,Lexus,GS 350,2017,foreign used,automatic,"₦ 35,000,000"
Honda Pilot 2013 Blue,Honda,Pilot,2013,foreign used,automatic,"₦ 15,500,000"
Mercedes-Benz GLE-Class 2017 Gray,Mercedes-Benz,GLE-Class,2017,foreign used,automatic,"₦ 45,000,000"
Toyota Corolla Verso 2006 Black,Toyota,Corolla Verso,2006,foreign used,automatic,"₦ 11,500,000"
Hyundai Sonata Limited 4dr Sedan (2.4L 4cyl 6A) 2015 Silver,Hyundai,Sonata Limited,2015,foreign used,automatic,"₦ 16,500,000"
Honda Accord EX 4dr Sedan (2.4L 4cyl CVT) 2014 Black,Honda,Accord EX,2014,foreign used,automatic,"₦ 15,500,000"
Toyota Camry LE 4dr Sedan (2.5L 4cyl 6A) 2013 Burgundy,Toyota,Camry LE,2013,foreign used,automatic,"₦ 12,500,000"
Lexus RX 350 AWD 2008 Silver,Lexus,RX 350,2008,foreign used,automatic,"₦ 13,000,000"
Acura MDX w/Advance & Ent. Pkgs SH-AWD 2018 Gray,Acura,MDX w,2018,foreign used,automatic,"₦ 28,000,000"
Acura MDX SH 4dr SUV AWD (3.5L 6cyl 9A) 2016 Gray,Acura,MDX SH,2016,foreign used,automatic,"₦ 17,000,000"
Toyota Sienna 2015 Silver,Toyota,Sienna,2015,foreign used,automatic,"₦ 19,500,000"
Lexus RX 330 4WD 2005 Silver,Lexus,RX 330,2005,foreign used,automatic,"₦ 10,500,000"
Toyota RAV4 SE AWD (2.5L 4cyl 6A) 2016 Gray,Toyota,RAV4 SE,2016,foreign used,automatic,"₦ 29,000,000"
Toyota Venza 2012 Black,Toyota,Venza,2012,foreign used,automatic,"₦ 17,000,000"
Lexus RX 330 2006 Black,Lexus,RX 330,2006,foreign used,automatic,"₦ 11,500,000"
Toyota Venza 2014 Brown,Toyota,Venza,2014,foreign used,automatic,"₦ 17,500,000"
Toyota Camry 2016 Maroon,Toyota,Camry,2016,foreign used,automatic,"₦ 17,600,000"
Hyundai Santa Fe 2021 Gray,Hyundai,Santa Fe,2021,local used,automatic,"₦ 27,500,000"
Hyundai Sonata 2012 White,Hyundai,Sonata,2012,local used,automatic,"₦ 8,500,000"
Mercedes-Benz GLK-Class 2009 White,Mercedes-Benz,GLK-Class,2009,foreign used,automatic,"₦ 13,500,000"
Lexus RX 350 AWD 2012 White,Lexus,RX 350,2012,local used,automatic,"₦ 15,500,000"
Toyota Camry LE 4dr Sedan (2.5L 4cyl 6AM) 2010 Silver,Toyota,Camry LE,2010,local used,automatic,"₦ 7,500,000"
Toyota Camry 2015 White,Toyota,Camry,2015,foreign used,automatic,"₦ 17,000,000"
New Toyota Belta 2024 Blue,New,Toyota Belta,2024,brand new,automatic,"₦ 38,500,000"
Honda Accord 2019 Gray,Honda,Accord,2019,foreign used,automatic,"₦ 23,500,000"
Toyota Camry SE 2021 Teal,Toyota,Camry SE,2021,foreign used,automatic,"₦ 32,000,000"
Hyundai Elantra 2013 White,Hyundai,Elantra,2013,foreign used,automatic,"₦ 13,500,000"
Toyota Land Cruiser Prado 4.0 Petrol TX-L 2014 Black,Toyota,Land Cruiser,2014,local used,automatic,"₦ 45,000,000"
Honda CR-V 2015 Gray,Honda,CR-V,2015,foreign used,automatic,"₦ 20,500,000"
Toyota Tundra 2017 Silver,Toyota,Tundra,2017,foreign used,automatic,"₦ 49,500,000"
Acura MDX 2015 Green,Acura,MDX,2015,foreign used,automatic,"₦ 15,100,000"
Toyota Hilux SR 4x4 2015 Silver,Toyota,Hilux SR,2015,local used,manual,"₦ 24,500,000"
Toyota Corolla LE (1.8L 4cyl 2A) 2018 Blue,Toyota,Corolla LE,2018,foreign used,automatic,"₦ 19,500,000"
Nissan Juke SL AWD 2012 Red,Nissan,Juke SL,2012,foreign used,automatic,"₦ 12,500,000"
Honda Accord 2013 White,Honda,Accord,2013,foreign used,automatic,"₦ 16,500,000"
Toyota Tundra Limited CrewMax 6.5' Bed 2024 Orange,Toyota,Tundra Limited,2024,foreign used,automatic,"₦ 160,000,000"
Toyota Matrix 2010 White,Toyota,Matrix,2010,foreign used,automatic,"₦ 12,000,000"
Toyota Tacoma Double Cab V6 Automatic 2012 White,Toyota,Tacoma Double,2012,foreign used,automatic,"₦ 23,500,000"
Toyota Camry XLE 4dr Sedan (2.5L 4cyl 6A) 2011 Black,Toyota,Camry XLE,2011,foreign used,automatic,"₦ 12,500,000"
Honda Odyssey 2007 Green,Honda,Odyssey,2007,foreign used,automatic,"₦ 8,500,000"
Toyota Tacoma Double Cab V6 2010 Silver,Toyota,Tacoma Double,2010,foreign used,automatic,"₦ 21,800,000"
Mercedes-Benz CLA-Class CLA 250 Sedan 2021 Gray,Mercedes-Benz,CLA-Class CLA,2021,foreign used,automatic,"₦ 65,000,000"
Mercedes-Benz GLE-Class 2017 White,Mercedes-Benz,GLE-Class,2017,foreign used,automatic,"₦ 45,000,000"
Lexus RX 2006 Gray,Lexus,RX,2006,foreign used,automatic,"₦ 14,300,000"
Acura MDX SH 4dr SUV AWD (3.5L 6cyl 9A) 2016 Black,Acura,MDX SH,2016,foreign used,automatic,"₦ 20,000,000"
Acura MDX SUV 4dr AWD (3.7L 6cyl 6A) 2012 Red,Acura,MDX SUV,2012,foreign used,automatic,"₦ 12,000,000"
Lexus ES 350 2008 Black,Lexus,ES 350,2008,foreign used,automatic,"₦ 8,800,000"
Toyota Camry 2013 Black,Toyota,Camry,2013,foreign used,automatic,"₦ 14,500,000"
Ford Escape 2010 Beige,Ford,Escape,2010,local used,automatic,"₦ 4,700,000"
Mini Countryman S 2013 White,Mini,Countryman S,2013,foreign used,automatic,"₦ 14,500,000"
Mercedes-Benz C300 2016 White,Mercedes-Benz,C300,2016,foreign used,automatic,"₦ 21,000,000"
Toyota Camry XLE 4dr Sedan (3.5L 6cyl 6A) 2015 Black,Toyota,Camry XLE,2015,foreign used,automatic,"₦ 21,500,000"
Mercedes-Benz E350 Base 4Matic Sedan AWD (3.5L 6cyl 7A) 2014 Silver,Mercedes-Benz,E350 Base,2014,local used,automatic,"₦ 14,000,000"
Toyota C-HR 2018 Gray,Toyota,C-HR,2018,foreign used,automatic,"₦ 26,500,000"
Toyota RAV4 XLE 4dr SUV (2.5L 4cyl 6A) 2014 Gray,Toyota,RAV4 XLE,2014,local used,automatic,"₦ 15,000,000"
Mercedes-Benz M Class 2013 White,Mercedes-Benz,M Class,2013,foreign used,automatic,"₦ 22,500,000"
Toyota Avalon Limited FWD Sedan (3.6L 6cyl 6A) 2016 Red,Toyota,Avalon Limited,2016,foreign used,automatic,"₦ 22,000,000"
Mercedes-Benz GLE-Class GLE 450 4MATIC 2023 Black,Mercedes-Benz,GLE-Class GLE,2023,foreign used,automatic,"₦ 220,000,000"
Toyota Corolla LE Plus 4dr Sedan (1.8L 4cyl CVT) 2016 Gray,Toyota,Corolla LE,2016,foreign used,automatic,"₦ 16,000,000"
Mercedes-Benz GLA 250 2021 White,Mercedes-Benz,GLA 250,2021,foreign used,automatic,"₦ 50,000,000"
Toyota Camry 2015 Gray,Toyota,Camry,2015,foreign used,automatic,"₦ 21,500,000"
Lincoln Navigator Black Label 2022 Black,Lincoln,Navigator Black,2022,foreign used,automatic,"₦ 195,000,000"
Toyota Venza 2015 Black,Toyota,Venza,2015,foreign used,automatic,"₦ 24,000,000"
Toyota RAV4 LE AWD (2.5L 4cyl 6A) 2016 Orange,Toyota,RAV4 LE,2016,foreign used,automatic,"₦ 28,500,000"
Toyota Land Cruiser 5.7 V8 GXR 2016 Black,Toyota,Land Cruiser,2016,foreign used,automatic,"₦ 85,000,000"
Toyota RAV4 2020 White,Toyota,RAV4,2020,foreign used,automatic,"₦ 44,000,000"
Mercedes-Benz E350 2012 White,Mercedes-Benz,E350,2012,foreign used,automatic,"₦ 19,500,000"
Hyundai Elantra 2020 White,Hyundai,Elantra,2020,foreign used,automatic,"₦ 27,000,000"
Toyota Matrix Hatchback FWD (1.8L 4cyl 5M) 2010 Red,Toyota,Matrix Hatchback,2010,foreign used,automatic,"₦ 11,300,000"
Mercedes-Benz CLA-Class CLA 250 4MATIC Sedan 2015 White,Mercedes-Benz,CLA-Class CLA,2015,foreign used,automatic,"₦ 25,000,000"
Toyota Highlander 2017 Red,Toyota,Highlander,2017,foreign used,automatic,"₦ 35,000,000"
Toyota Camry 2016 Black,Toyota,Camry,2016,foreign used,automatic,"₦ 22,500,000"
Lexus IS 350 AWD 2015 Gray,Lexus,IS 350,2015,foreign used,automatic,"₦ 28,500,000"
Toyota Sequoia 2014 Red,Toyota,Sequoia,2014,foreign used,automatic,"₦ 45,000,000"
Toyota RAV4 Limited AWD 2019 Blue,Toyota,RAV4 Limited,2019,foreign used,automatic,"₦ 36,850,000"
Toyota Highlander XSE 2021 Black,Toyota,Highlander XSE,2021,foreign used,automatic,"₦ 58,000,000"
Toyota RAV4 2014 Blue,Toyota,RAV4,2014,foreign used,automatic,"₦ 20,500,000"
Toyota Corolla 2015 Gray,Toyota,Corolla,2015,foreign used,automatic,"₦ 15,000,000"
Acura MDX SUV 4dr AWD (3.7L 6cyl 6A) 2013 Gray,Acura,MDX SUV,2013,foreign used,automatic,"₦ 12,000,000"
Lexus RX 350 4x4 2009 Gray,Lexus,RX 350,2009,foreign used,automatic,"₦ 13,500,000"
Acura MDX Sport Package AWD (3.7L 6cyl 5A) 2009 Burgundy,Acura,MDX Sport,2009,foreign used,automatic,"₦ 9,800,000"
Toyota Camry SE 4dr Sedan (2.4L 4cyl 5A) 2009 Gray,Toyota,Camry SE,2009,foreign used,automatic,"₦ 10,000,000"
Toyota Camry 2005 Silver,Toyota,Camry,2005,foreign used,automatic,"₦ 8,000,000"
Lexus RX 330 2005 Gray,Lexus,RX 330,2005,foreign used,automatic,"₦ 11,500,000"
Toyota Corolla 2015 Black,Toyota,Corolla,2015,foreign used,automatic,"₦ 14,500,000"
Toyota Avalon XLE Premium Sedan FWD (3.5L 6cyl 6A) 2013 Gray,Toyota,Avalon XLE,2013,foreign used,automatic,"₦ 16,000,000"
Lexus IS 2016 Gray,Lexus,IS,2016,local used,automatic,"₦ 24,000,000"
Mercedes-Benz C300 2015 White,Mercedes-Benz,C300,2015,foreign used,automatic,"₦ 23,000,000"
Toyota Highlander SE 3.5L 4WD 2013 Silver,Toyota,Highlander SE,2013,local used,automatic,"₦ 8,500,000"
Lexus ES 350 FWD 2016 Black,Lexus,ES 350,2016,foreign used,automatic,"₦ 23,000,000"
Toyota Venza 2010 Silver,Toyota,Venza,2010,local used,automatic,"₦ 12,000,000"
Honda Accord 2018 White,Honda,Accord,2018,foreign used,automatic,"₦ 19,000,000"
Mercedes-Benz GLE-Class 2018 Blue,Mercedes-Benz,GLE-Class,2018,foreign used,automatic,"₦ 37,500,000"
Toyota Avalon XLE 4dr Sedan (3.5L 6cyl 6A) 2015 White,Toyota,Avalon XLE,2015,foreign used,automatic,"₦ 19,500,000"
Land Rover Range Rover Velar 2021 White,Land,Rover Range,2021,foreign used,automatic,"₦ 68,000,000"
Honda Accord 2009 Silver,Honda,Accord,2009,local used,automatic,"₦ 6,000,000"
Toyota Venza AWD 2010 White,Toyota,Venza AWD,2010,local used,automatic,"₦ 12,000,000"
Mercedes-Benz CLA-Class CLA 250 4MATIC Sedan 2017 White,Mercedes-Benz,CLA-Class CLA,2017,foreign used,automatic,"₦ 25,000,000"
Honda Accord 2015 Silver,Honda,Accord,2015,foreign used,automatic,"₦ 16,500,000"
Toyota Highlander XLE 2022 Silver,Toyota,Highlander XLE,2022,local used,automatic,"₦ 49,000,000"
Ford Fusion SE 2013 White,Ford,Fusion SE,2013,foreign used,automatic,"₦ 13,500,000"
Toyota Tundra 1794 5.7L V8 4x4 CrewMax 5.6 ft. box 145.7 in. WB 2020,Toyota,Tundra 1794,2020,foreign used,automatic,"₦ 75,000,000"
Nissan Pathfinder SE 4x4 2010 Black,Nissan,Pathfinder SE,2010,foreign used,automatic,"₦ 12,800,000"
Toyota Avensis Verso 2009 Blue,Toyota,Avensis Verso,2009,foreign used,automatic,"₦ 13,800,000"
New Toyota Hilux 2023 Black,New,Toyota Hilux,2023,brand new,automatic,"₦ 98,000,000"
Toyota Sienna Limited AWD 7-Passenger 2013 Silver,Toyota,Sienna Limited,2013,foreign used,automatic,"₦ 19,000,000"
Mercedes-Benz C300 Luxury 4dr AWD 4Matic Sedan (2.0L 4cyl 7A) 2015,Mercedes-Benz,C300 Luxury,2015,foreign used,automatic,"₦ 26,500,000"
Acura MDX 2009 Blue,Acura,MDX,2009,foreign used,automatic,"₦ 10,500,000"
Toyota Highlander 2003 Green,Toyota,Highlander,2003,foreign used,automatic,"₦ 12,000,000"
Nissan Rogue S 2011 Black,Nissan,Rogue S,2011,foreign used,automatic,"₦ 11,500,000"
Toyota Sequoia Platinum 4x4 2018 Matt Black,Toyota,Sequoia Platinum,2018,foreign used,automatic,"₦ 44,000,000"
Toyota RAV4 3.5 Limited 4x4 2012 Black,Toyota,RAV4 3,2012,foreign used,automatic,"₦ 15,800,000"
Toyota 4-Runner 2015 Black,Toyota,4-Runner,2015,foreign used,automatic,"₦ 48,000,000"
Land Rover Range Rover Vogue 2016 White,Land,Rover Range,2016,foreign used,automatic,"₦ 65,000,000"
Audi Q7 Premium Plus 2021 Black,Audi,Q7 Premium,2021,foreign used,automatic,"₦ 85,000,000"
Toyota Corolla LE (1.8L 4cyl 2A) 2018 Brown,Toyota,Corolla LE,2018,foreign used,automatic,"₦ 19,000,000"
Toyota Camry 2016 Blue,Toyota,Camry,2016,foreign used,automatic,"₦ 19,500,000"
Toyota Sequoia 2017 Silver,Toyota,Sequoia,2017,foreign used,automatic,"₦ 45,000,000"
Toyota Tacoma Limited Double Cab 5' Bed V6 AT 2023 Black,Toyota,Tacoma Limited,2023,foreign used,automatic,"₦ 82,000,000"
Toyota Sequoia 2015 Black,Toyota,Sequoia,2015,foreign used,automatic,"₦ 28,500,000"
Toyota RAV4 2015 Black,Toyota,RAV4,2015,foreign used,automatic,"₦ 24,500,000"
Toyota Camry 2012 Gray,Toyota,Camry,2012,foreign used,automatic,"₦ 15,000,000"
Mercedes-Benz GLE43 2016 White,Mercedes-Benz,GLE43,2016,foreign used,automatic,"₦ 86,000,000"
Toyota Highlander V6 2009 Gray,Toyota,Highlander V6,2009,foreign used,automatic,"₦ 13,500,000"
Toyota Camry 2008 Silver,Toyota,Camry,2008,foreign used,automatic,"₦ 9,000,000"
Toyota RAV4 3.5 Sport 4x4 2008 Gray,Toyota,RAV4 3,2008,foreign used,automatic,"₦ 11,000,000"
Toyota Camry LE 4dr Sedan (2.5L 4cyl 6A) 2013 Black,Toyota,Camry LE,2013,foreign used,automatic,"₦ 12,500,000"
Toyota Camry LE 4dr Sedan (2.5L 4cyl 6AM) 2010 Gold,Toyota,Camry LE,2010,foreign used,automatic,"₦ 10,000,000"
Toyota RAV4 2018 Red,Toyota,RAV4,2018,foreign used,automatic,"₦ 28,000,000"
Honda Pilot 2010 Gold,Honda,Pilot,2010,foreign used,automatic,"₦ 11,000,000"
Toyota Venza XLE AWD V6 2013 Red,Toyota,Venza XLE,2013,foreign used,automatic,"₦ 17,500,000"
Hyundai Elantra 2021 Blue,Hyundai,Elantra,2021,foreign used,automatic,"₦ 28,900,000"
Lexus ES 350 F Sport 2020 Gray,Lexus,ES 350,2020,foreign used,automatic,"₦ 45,000,000"
Hyundai Elantra 2013 Silver,Hyundai,Elantra,2013,foreign used,automatic,"₦ 10,500,000"
Toyota Camry LE (2.5L 4cyl 8A) 2019 Gray,Toyota,Camry LE,2019,foreign used,automatic,"₦ 23,500,000"
Mercedes-Benz GLK-Class 2013 Black,Mercedes-Benz,GLK-Class,2013,foreign used,automatic,"₦ 24,500,000"
Toyota 4-Runner Limited 4x4 V6 2009 Gray,Toyota,4-Runner Limited,2009,foreign used,automatic,"₦ 18,500,000"
Toyota Camry XLE V6 4dr Sedan (3.5L 6cyl 6A) 2013 Gray,Toyota,Camry XLE,2013,foreign used,automatic,"₦ 16,500,000"
Mercedes-Benz M Class ML 350 4Matic 2010 Red,Mercedes-Benz,M Class,2010,foreign used,automatic,"₦ 16,800,000"
Lexus LX 470 AWD 2005 Black,Lexus,LX 470,2005,foreign used,automatic,"₦ 22,000,000"
Lexus ES 350 FWD 2013 Black,Lexus,ES 350,2013,foreign used,automatic,"₦ 23,000,000"
Lexus ES 330 2006 Green,Lexus,ES 330,2006,foreign used,automatic,"₦ 10,500,000"
Toyota Camry 2017 Black,Toyota,Camry,2017,foreign used,automatic,"₦ 22,000,000"
Mercedes-Benz G-Class Base G 550 AWD 2013 White,Mercedes-Benz,G-Class Base,2013,foreign used,automatic,"₦ 98,000,000"
Acura TL SH-AWD 2010 Brown,Acura,TL SH-AWD,2010,foreign used,automatic,"₦ 13,000,000"
Hyundai Santa Fe 2014 White,Hyundai,Santa Fe,2014,foreign used,automatic,"₦ 21,500,000"
Toyota Highlander Limited 3.5l 4WD 2013 Beige,Toyota,Highlander Limited,2013,foreign used,automatic,"₦ 22,000,000"
Lexus GX 460 Luxury 2014 Gray,Lexus,GX 460,2014,foreign used,automatic,"₦ 45,000,000"
Toyota Matrix 2011 Gold,Toyota,Matrix,2011,foreign used,automatic,"₦ 11,800,000"
Toyota RAV4 Limited 4dr SUV (2.5L 4cyl 6A) 2015 Red,Toyota,RAV4 Limited,2015,foreign used,automatic,"₦ 24,500,000"
BMW X6 2019 White,BMW,X6,2019,foreign used,automatic,"₦ 60,000,000"
Lexus LX 570 AWD 2015,Lexus,LX 570,2015,foreign used,automatic,"₦ 65,000,000"
Honda Accord 2015 Red,Honda,Accord,2015,foreign used,automatic,"₦ 19,500,000"
Toyota Camry 2019 Gray,Toyota,Camry,2019,foreign used,automatic,"₦ 42,000,000"
Jeep Wrangler Rubicon 4x4 2017 White,Jeep,Wrangler Rubicon,2017,foreign used,automatic,"₦ 58,000,000"
Lexus ES 350 FWD 2016 Off white,Lexus,ES 350,2016,foreign used,automatic,"₦ 35,000,000"
Toyota Hilux 2.8 Diesel 2020 Silver,Toyota,Hilux 2,2020,foreign used,automatic,"₦ 68,000,000"
Toyota Highlander Limited 4dr SUV AWD (3.5L 6cyl 6A) 2014 Blue,Toyota,Highlander Limited,2014,foreign used,automatic,"₦ 19,500,000"
Mercedes-Benz GLK-Class 350 4MATIC 2014,Mercedes-Benz,GLK-Class 350,2014,foreign used,automatic,"₦ 26,000,000"
Toyota Land Cruiser Prado 4.0 Petrol TX-L 2021 Black,Toyota,Land Cruiser,2021,foreign used,automatic,"₦ 82,000,000"
Mercedes-Benz M Class 2015 Blue,Mercedes-Benz,M Class,2015,foreign used,automatic,"₦ 30,000,000"
Acura MDX 2015 Blue,Acura,MDX,2015,foreign used,automatic,"₦ 16,000,000"
Toyota Hilux 2021 White,Toyota,Hilux,2021,foreign used,automatic,"₦ 78,500,000"
Lexus GX 470 2009 Red,Lexus,GX 470,2009,foreign used,automatic,"₦ 19,500,000"
Toyota Camry 2012 Black,Toyota,Camry,2012,foreign used,automatic,"₦ 14,000,000"
